Name,Type,Price,Category Gender,Size,min_size,max_size,Rating,Review Count,Status,Product Link
halter neck bra sleeveless top,halter,99.9,women,xs-3xl,xs,3xl,5.0,4,0,https://www.uniqlo.com/my/en/products/E473991-000
soft ribbed tank top,soft,39.9,women,xs-xxl,xs,xxl,4.7,9,0,https://www.uniqlo.com/my/en/products/E474473-000
ribbed boat neck t-shirt  half sleeve,ribbed,59.9,women,xs-3xl,xs,3xl,4.8,13,0,https://www.uniqlo.com/my/en/products/E474406-000
crew neck t-shirt  short sleeve,crew,49.9,women,xs-3xl,xs,3xl,4.9,999,0,https://www.uniqlo.com/my/en/products/E424873-000
airism cotton low back bra t-shirt,airism,99.9,women,xs-3xl,xs,3xl,4.7,3,0,https://www.uniqlo.com/my/en/products/E477053-000
airism cotton t-shirt  short sleeve,airism,129.9,women,xs-3xl,xs,3xl,4.9,999,3,https://www.uniqlo.com/my/en/products/E465755-000
airism soft cropped t-shirt,airism,59.9,women,xs-3xl,xs,3xl,4.8,24,6,https://www.uniqlo.com/my/en/products/E474411-000
supima cotton crew neck t-shirt  short sleeve,supima,49.9,women,xs-3xl,xs,3xl,4.8,20,0,https://www.uniqlo.com/my/en/products/E474408-000
ribbed boat neck t-shirt  half sleeve  stripe,ribbed,59.9,women,xs-3xl,xs,3xl,4.6,5,0,https://www.uniqlo.com/my/en/products/E475842-000
mini t-shirt  short sleeve  stripe,mini,129.9,women,xs-3xl,xs,3xl,4.9,253,7,https://www.uniqlo.com/my/en/products/E476248-000
mini t-shirt  short sleeve,mini,49.9,women,xs-3xl,xs,3xl,4.9,999,0,https://www.uniqlo.com/my/en/products/E465760-000
airism cotton t-shirt  long sleeve  stripe,airism,59.9,women,xs-3xl,xs,3xl,4.8,6,0,https://www.uniqlo.com/my/en/products/E476647-000
boxy rugger polo shirt  long sleeve,boxy,149.9,women,s-l,s,l,4.7,3,2,https://www.uniqlo.com/my/en/products/E476171-000
boxy crew neck sweatshirt,boxy,149.9,women,s-l,s,l,5.0,1,2,https://www.uniqlo.com/my/en/products/E476170-000
dry sweat full-zip hoodie,dry,149.9,women,xs-xxl,xs,xxl,5.0,5,0,https://www.uniqlo.com/my/en/products/E475855-000
airism cotton t-shirt  long sleeve,airism,59.9,women,xs-3xl,xs,3xl,4.7,27,0,https://www.uniqlo.com/my/en/products/E474402-000
waffle crew neck t-shirt  long sleeve,waffle,59.9,women,xs-3xl,xs,3xl,4.9,999,5,https://www.uniqlo.com/my/en/products/E449860-000
airism cotton relaxed long t-shirt,airism,59.9,women,xs-3xl,xs,3xl,5.0,2,0,https://www.uniqlo.com/my/en/products/E477686-000
